※あいさつや、関係ない話はばっさりカットしています
[Sat Dec 12 21:31:05 2009] #mikunopop: s_o_l           : あらためて
[Sat Dec 12 21:31:22 2009] #mikunopop: s_o_l           : 世界の新着ができて、日刊ボカランのトピック枠2000ｐ以上ってのがなくなりましたよね。
[Sat Dec 12 21:31:33 2009] #mikunopop: s_o_l           : それで、新曲７日の制限って意味がなくなったような気がしてちょっと聞いてみました。
[Sat Dec 12 21:32:27 2009] #mikunopop: A_ster          : ほ～基準変わったんですね
[Sat Dec 12 21:33:03 2009] #mikunopop: s_o_l           : 日刊ボカランはトピック枠の紹介基準を非公開にしました。
[Sat Dec 12 21:34:38 2009] #mikunopop: A_ster          : 確かに制限の意味はなくなったかもしれませんね
[Sat Dec 12 21:34:46 2009] #mikunopop: s_o_l           : http://blog.daily-vocaran.info/article/33297891.html
[Sat Dec 12 21:34:51 2009] #mikunopop: Q-iron          : 自分は７日縛り元から否定的なので今回の議論はパスしときますｗ
[Sat Dec 12 21:36:06 2009] #mikunopop: s_o_l           : 個人的には何らかのガイドラインがほしいかなと思います。
[Sat Dec 12 21:36:37 2009] #mikunopop: higumon0        : 個人的な意見。ルールが決まれば従うぐらいしか思い入れがない、正直どちらでもいいなぁ
[Sat Dec 12 21:37:55 2009] #mikunopop: A_ster          : もはや新着制限を設けても意味がなくなってしまいましたからねぇ
[Sat Dec 12 21:44:19 2009] #mikunopop: A_ster          : ちなみにどっちでもいいって人 ノ
[Sat Dec 12 21:44:22 2009] #mikunopop: boro_           : ノ
[Sat Dec 12 21:44:42 2009] #mikunopop: s_o_l           : けっこう機能追加が多いからなじむまでトラフィックは改善されないかもですね。
[Sat Dec 12 21:44:52 2009] #mikunopop: boro_           : あっと、その前に少し不安？を。
[Sat Dec 12 21:44:54 2009] #mikunopop: s_o_l           : ノ
[Sat Dec 12 21:45:25 2009] #mikunopop: s_o_l           : うーん僕はＰもやってるんで、売名と思われたくないｗｗ
[Sat Dec 12 21:45:34 2009] #mikunopop: boro_           : 新着7日を無くしてリクエストが新着ばかりになるとしたら面白くないです。
[Sat Dec 12 21:45:51 2009] #mikunopop: A_ster          : あ～その恐れはありますね
[Sat Dec 12 21:45:55 2009] #mikunopop: saihane_work    : 他のボカロ系放送の動向がわかるかたいますか？　参考にしたいのですが～
[Sat Dec 12 21:46:28 2009] #mikunopop: saihane_work    : 新着は主セレのみ、とか・・？
[Sat Dec 12 21:46:45 2009] #mikunopop: boro_           : もしくは新着は時間帯を限定するとか？
[Sat Dec 12 21:47:15 2009] #mikunopop: boro_           : まぁそうするとその時間帯には放送が無くてはならないって事になりかねませんが・・・
[Sat Dec 12 21:47:49 2009] #mikunopop: s_o_l           : まあ、主セレのバランスは個人裁量ですからね。リク受けるもよし、跳ねるのもよしと思いますが。
[Sat Dec 12 21:48:30 2009] #mikunopop: A_ster          : 主側で多分にコントロールできると思いますね
[Sat Dec 12 21:49:56 2009] #mikunopop: s_o_l           : テンプレートは強制じゃないってことですか？
[Sat Dec 12 21:50:47 2009] #mikunopop: A_ster          : その日のうちに再生されたものは２度流さないとか
[Sat Dec 12 21:51:01 2009] #mikunopop: boro_           : その確認は大変そうですよ
[Sat Dec 12 21:51:03 2009] #mikunopop: s_o_l           : いま自動スクリプトで返してましたっけ？
[Sat Dec 12 21:52:46 2009] #mikunopop: A_ster          : これを頼りにするのはよろしくないとわかってるんですが、ミクノ度の反映ってどの位タイムラグがあるんでしたっけ？＞saihaneさん
[Sat Dec 12 21:52:51 2009] #mikunopop: boro_           : ツールを使えない人も想定しないといけませんよ。
[Sat Dec 12 21:53:00 2009] #mikunopop: saihane_work    : その日のうちに、となると人間がプレイログスレッドを監視しないといけません、半年前も同じ話題がでました
[Sat Dec 12 21:53:45 2009] #mikunopop: saihane_work    : ミクノ度のラグは設定次第ですが、最低１０分間隔以下にする予定はありません。今は６時間くらいです（たぶん）
[Sat Dec 12 21:54:37 2009] #mikunopop: saihane_work    : ２４時間以内に何度流れたか、をチェックしニコリクに機能を組み込むことは可能ですが、私は実装するつもりはありません。
[Sat Dec 12 21:55:59 2009] #mikunopop: A_ster          : 主セレが新着ばかりにならない限りそんなに偏ることもないのかなぁと思ったり
[Sat Dec 12 21:56:01 2009] #mikunopop: saihane         : 第一オペレーションが複雑すぎますし、いつか私がニコリクのメンテを放棄する日が来ますしね
[Sat Dec 12 21:56:21 2009] #mikunopop: boro_           : ツールに頼った制限は使えない人もいるので、主がプレイリストを見て判断するか、時間帯で制限するかの2択だと思います。
[Sat Dec 12 21:56:28 2009] #mikunopop: saihane         : 「この枠は新曲リク禁止」というルールを主判断でする手も？
[Sat Dec 12 21:56:38 2009] #mikunopop: A_ster          : それもありでしょうね
[Sat Dec 12 21:56:50 2009] #mikunopop: boro_           : それはありですね。
