[Sun Jul 18 22:05:48 2010] #mikunopop: saihane         : まず最初に、ここでの話は、公式なものじゃないです。雑談的なものです。
[Sun Jul 18 22:06:08 2010] #mikunopop: saihane         : それから、発言ログはのちほど総合掲示板で公開する予定ですので、ご了承ください。
[Sun Jul 18 22:06:22 2010] #mikunopop: k-sk            : おkですb
[Sun Jul 18 22:06:25 2010] #mikunopop: danjoh          : ボケられない～＞＜
[Sun Jul 18 22:06:29 2010] #mikunopop: kuranchi        : 了解しましたー
[Sun Jul 18 22:06:31 2010] #mikunopop: k-sk            : ww
[Sun Jul 18 22:06:51 2010] #mikunopop: megane          : 間に合った！了解です
[Sun Jul 18 22:06:57 2010] #mikunopop: cathy_          : 了解です～
[Sun Jul 18 22:06:59 2010] #mikunopop: saihane         : ではざっと私から。まず、大賞イベントをやりたいというリスナーさんがいらして、
[Sun Jul 18 22:07:33 2010] #mikunopop: saihane         : 第五世代のおふたりが、「企画やりたいよね〜」となりました、が
[Sun Jul 18 22:07:48 2010] #mikunopop: saihane         : 「大賞」という言葉を使ってあすたーさんと別のイベントをしていいものかどうかわからず
[Sun Jul 18 22:08:02 2010] #mikunopop: saihane         : どうしようかねぇ、というところで止まっているような状況です。
[Sun Jul 18 22:08:24 2010] #mikunopop: saihane         : では、くらんち先生、お願いしますｗ
[Sun Jul 18 22:08:55 2010] #mikunopop: kuranchi        : えっと、まずはじめに、はじめまして、こんばんは。
[Sun Jul 18 22:10:10 2010] #mikunopop: kuranchi        : 生主をしていて、リスナーさんが企画というか面白いことしたいんだなぁと感じました。
[Sun Jul 18 22:10:53 2010] #mikunopop: kuranchi        : それは私も思っていたことなので、ミクノコミュ内で何か面白いことができたらと思っていたのですが
[Sun Jul 18 22:12:12 2010] #mikunopop: nise_ikkari joined.
[Sun Jul 18 22:12:13 2010] #mikunopop: mikuno_chan     : nise_ikkari兄さん、いらっしゃいですわ。
[Sun Jul 18 22:12:56 2010] #mikunopop: kuranchi        : 羽さんに聞いてみたところ、コミュの運営権利についての問題など、少々ややこしい問題があると聞きました。
[Sun Jul 18 22:13:12 2010] #mikunopop: nise_ikkari     : こんばんわ。議題に釣られてのぞきに来ましたｗ
[Sun Jul 18 22:13:13 2010] #mikunopop: kuranchi        : タイピング遅くてすみません
[Sun Jul 18 22:15:10 2010] #mikunopop: SOL             : 掲示板の書き込み権限とか？？
[Sun Jul 18 22:15:20 2010] #mikunopop: saihane         : つまり、簡単に言うと「大賞」という言葉をあすたーさん以外が使って良いのかどうか、あやふやだよねというのが１点ありますよね。
[Sun Jul 18 22:15:46 2010] #mikunopop: kuranchi        : あ、すみません。言葉選んでたら考え込んじゃって・・
[Sun Jul 18 22:16:11 2010] #mikunopop: saihane         : それで、他のイベントを別に立ち上げてもいんでしょうけど、
[Sun Jul 18 22:16:30 2010] #mikunopop: saihane         : せっかくだから大賞という名前で継続したほうがいいのかな、と。
[Sun Jul 18 22:16:52 2010] #mikunopop: Shaghar         : 今回はその話題についてみなさんがどう思っているのか知りたくて召集をかけていただきました～
